sample_size,scale,original_n,source,name,value,power,scale2,sd_item,new_sample
105,3,30,Low Variance,Decile 0,0.833333333333333,80,Large Scale,73.3738205004333,97.9107808788711
125,1,30,Medium Variance,Decile 0,0.8,80,Small Scale,0.451439712223587,116.560453427227
300,2,30,Medium Variance,Decile 0,0.8,80,Medium Scale,10.3773056176175,279.745088225346
240,3,30,Medium Variance,Decile 0,0.833333333333333,80,Large Scale,122.691490779093,223.796070580277
125,1,30,High Variance,Decile 10,0.8,80,Small Scale,0.959147328717719,116.560453427227
365,2,30,High Variance,Decile 10,0.8,80,Medium Scale,13.3386983938319,340.356524007504
255,3,30,High Variance,Decile 10,0.8,80,Large Scale,161.613160346834,237.783324991544
65,1,30,Low Variance,Decile 10,0.833333333333333,80,Small Scale,0.365907561055948,60.6114357821583
75,2,30,Low Variance,Decile 10,0.833333333333333,80,Medium Scale,5.36156474401855,69.9362720563365
70,3,30,Low Variance,Decile 10,0.8,80,Large Scale,73.3738205004333,65.2738539192474
80,1,30,Medium Variance,Decile 10,0.8,80,Small Scale,0.451439712223587,74.5986901934256
185,2,30,Medium Variance,Decile 10,0.8,80,Medium Scale,10.3773056176175,172.509471072297
115,3,30,Medium Variance,Decile 10,0.8,80,Large Scale,122.691490779093,107.235617153049
95,1,30,High Variance,Decile 20,0.8,80,Small Scale,0.959147328717719,88.5859446046929
225,2,30,High Variance,Decile 20,0.8,80,Medium Scale,13.3386983938319,209.808816169009
205,3,30,High Variance,Decile 20,0.8,80,Large Scale,161.613160346834,191.159143620653
60,1,30,Low Variance,Decile 20,0.8,80,Small Scale,0.365907561055948,55.9490176450692
60,2,30,Low Variance,Decile 20,0.8,80,Medium Scale,5.36156474401855,55.9490176450692
50,3,30,Low Variance,Decile 20,0.8,80,Large Scale,73.3738205004333,46.624181370891
75,1,30,Medium Variance,Decile 20,0.8,80,Small Scale,0.451439712223587,69.9362720563365
100,2,30,Medium Variance,Decile 20,0.8,80,Medium Scale,10.3773056176175,93.248362741782
80,3,30,Medium Variance,Decile 20,0.8,80,Large Scale,122.691490779093,74.5986901934256
85,1,30,High Variance,Decile 30,0.8,80,Small Scale,0.959147328717719,79.2611083305147
115,2,30,High Variance,Decile 30,0.833333333333333,80,Medium Scale,13.3386983938319,107.235617153049
105,3,30,High Variance,Decile 30,0.833333333333333,80,Large Scale,161.613160346834,97.9107808788711
50,1,30,Low Variance,Decile 30,0.833333333333333,80,Small Scale,0.365907561055948,46.624181370891
55,2,30,Low Variance,Decile 30,0.9,80,Medium Scale,5.36156474401855,51.2865995079801
50,3,30,Low Variance,Decile 30,0.833333333333333,80,Large Scale,73.3738205004333,46.624181370891
50,1,30,Medium Variance,Decile 30,0.8,80,Small Scale,0.451439712223587,46.624181370891
70,2,30,Medium Variance,Decile 30,0.8,80,Medium Scale,10.3773056176175,65.2738539192474
65,3,30,Medium Variance,Decile 30,0.866666666666667,80,Large Scale,122.691490779093,60.6114357821583
65,1,30,High Variance,Decile 40,0.866666666666667,80,Small Scale,0.959147328717719,60.6114357821583
95,2,30,High Variance,Decile 40,0.8,80,Medium Scale,13.3386983938319,88.5859446046929
70,3,30,High Variance,Decile 40,0.8,80,Large Scale,161.613160346834,65.2738539192474
40,1,30,Low Variance,Decile 40,0.8,80,Small Scale,0.365907561055948,37.2993450967128
50,2,30,Low Variance,Decile 40,0.833333333333333,80,Medium Scale,5.36156474401855,46.624181370891
45,3,30,Low Variance,Decile 40,0.8,80,Large Scale,73.3738205004333,41.9617632338019
45,1,30,Medium Variance,Decile 40,0.8,80,Small Scale,0.451439712223587,41.9617632338019
60,2,30,Medium Variance,Decile 40,0.833333333333333,80,Medium Scale,10.3773056176175,55.9490176450692
55,3,30,Medium Variance,Decile 40,0.833333333333333,80,Large Scale,122.691490779093,51.2865995079801
