"RT" "zRT" "Pp" "Type" "Prime" "Target" "accTarget" "accPrime"
0.466861933 -0.687605906517354 5 "R" "appel" "gezond" 1 1
0.573274016 -0.101919348037537 5 "R" "kever" "insect" 1 1
0.52018863 -0.394098545694185 5 "R" "ridder" "harnas" 1 1
1.253270507 3.64074589602259 5 "R" "mixer" "keuken" 1 0
0.47989738 -0.615859485655768 5 "R" "chemie" "fysica" 1 1
0.453322738 -0.762124930114863 5 "R" "gamba" "scampi" 1 1
0.493625253 -0.540301988180429 5 "R" "patrijs" "jacht" 1 1
0.760189235 0.92685227504601 5 "R" "vijgen" "dadels" 1 1
0.46684131 -0.687719414434453 5 "R" "arbeid" "werk" 1 1
0.613265932 0.118194073189767 5 "R" "oester" "mossel" 1 1
0.559933424 -0.175345271074524 5 "R" "specht" "snavel" 1 1
0.533513427 -0.320759557513941 5 "R" "radijs" "bitter" 1 1
0.45327422 -0.762391970658035 5 "R" "servet" "tafel" 0 1
0.386604488 -1.12933870066286 5 "R" "cement" "mortel" 1 1
0.453668118 -0.76022397659657 5 "R" "oven" "pizza" 1 1
0.479963243 -0.615496979136643 5 "U" "ezel" "vijver" 1 1
0.919942498 1.80612590802612 5 "U" "erwt" "balken" 1 1
0.43995297 -0.835711436335154 5 "U" "satijn" "gevaar" 1 1
0.706809342 0.633052126211494 5 "U" "tenor" "bezem" 1 0
0.533265889 -0.322121993763901 5 "U" "alarm" "zetel" 1 1
0.440295041 -0.833828695380391 5 "U" "nonkel" "strand" 1 1
0.62695545 0.193540466744223 5 "U" "taxi" "gewei" 1 1
0.506625473 -0.468749454890761 5 "U" "wrat" "terras" 1 0
0.546584964 -0.248814499173418 5 "U" "sober" "getal" 0 1
1.040196061 2.46799525098791 5 "U" "eclair" "veulen" 0 0
0.920167565 1.8073646650633 5 "U" "libel" "karig" 1 0
0.480302244 -0.613631135301867 5 "U" "absurd" "tijger" 1 1
0.64030087 0.266992962841567 5 "U" "heks" "glad" 1 1
0.546985805 -0.246608291201832 5 "U" "lepel" "hevig" 1 1
0.546851993 -0.247344785475357 5 "U" "zomer" "smal" 1 1
0.706984401 0.634015641823165 5 "U" "orgel" "gebak" 1 1
0.493287891 -0.542158811044632 5 "U" "poema" "stad" 1 1
0.693532526 0.55997722295441 5 "U" "eland" "pakje" 1 0
0.613534153 -0.137167792979269 6 "R" "soepel" "lenig" 1 1
0.426611841 -0.570512503147726 6 "R" "karton" "papier" 1 1
0.773278773 0.233170479184144 6 "R" "pyjama" "nacht" 1 1
0.66660583 -0.0141309535477139 6 "R" "slap" "zwak" 1 0
0.466924906 -0.477054139180843 6 "R" "vracht" "lading" 1 1
0.546628892 -0.292275231072534 6 "R" "matras" "zacht" 1 1
0.453283697 -0.508678752086618 6 "R" "hagel" "winter" 1 1
0.466862649 -0.477198470487964 6 "R" "netjes" "proper" 1 1
0.559981585 -0.261319488999039 6 "R" "cape" "mantel" 1 0
0.520308614 -0.353293913751053 6 "R" "fazant" "vogel" 1 1
0.467007756 -0.476862066822796 6 "R" "louter" "alleen" 1 1
0.560190678 -0.260834745660944 6 "R" "ekster" "zwart" 1 0
0.466981828 -0.476922176081691 6 "R" "marmer" "hard" 1 1
0.533280134 -0.32322185057839 6 "R" "ajuin" "wenen" 1 1
0.453271985 -0.508705904186285 6 "R" "cactus" "plant" 1 1
0.786851048 0.264635281396743 6 "R" "sabel" "degen" 1 0
0.853661358 0.419522593207944 6 "R" "slogan" "leuze" 1 1
0.573701501 -0.229512408512277 6 "R" "saldo" "geld" 1 0
0.546854019 -0.291753315879413 6 "U" "hengst" "opera" 1 1
0.653265953 -0.0450569841023106 6 "U" "paniek" "geluid" 1 1
