suj,congr,item,side,aff-ness,RT,liking
6,valid,K,R,non-aff,149978.2,3
6,valid,K,R,non-aff,233352.9,4
6,valid,K,L,non-aff,78619.3,3
6,valid,K,L,non-aff,142138.3,9
6,valid,K,L,non-aff,225617.1,4
6,invalid,G,R,aff,61755.5,1
6,invalid,G,R,aff,85963.2,2
6,invalid,G,R,aff,171505.9,1
6,invalid,G,L,aff,212841.3,3
6,invalid,K,R,aff,39307.9,5
6,invalid,K,R,aff,240192.8,4
6,invalid,K,L,aff,178921.8,9
6,invalid,G,R,non-aff,9676.3,9
6,invalid,G,R,non-aff,100395,4
6,invalid,G,L,non-aff,69067.4,2
6,invalid,G,L,non-aff,127010.6,5
6,invalid,G,L,non-aff,206185.3,2
6,invalid,K,R,non-aff,259600.6,9
6,invalid,K,L,non-aff,55675.6,5
6,invalid,K,L,non-aff,113578.8,3
6,invalid,K,L,non-aff,119762.7,3
6,invalid,K,L,non-aff,199657.5,4
6,valid,S,R,aff,229137,5
6,valid,S,L,aff,68531.4,7
6,valid,S,L,aff,75203.3,1
6,valid,S,L,aff,211745.3,1
6,valid,L,R,aff,57115.6,1
6,valid,L,R,aff,97283,4
6,valid,L,L,aff,49667.7,3
6,valid,L,L,aff,89347.1,1
6,valid,S,R,non-aff,138690.4,1
6,valid,S,R,non-aff,187681.6,9
6,valid,S,R,non-aff,272792.3,2
6,valid,S,L,non-aff,41891.9,1
6,valid,S,L,non-aff,155082.1,5
6,valid,L,R,non-aff,17316.2,2
6,valid,L,R,non-aff,34667.9,3
6,valid,L,R,non-aff,219649.2,3
6,valid,L,L,non-aff,117674.7,1
6,invalid,S,R,aff,104058.9,3
6,invalid,S,R,aff,146546.3,1
6,invalid,S,R,aff,178345.8,5
6,invalid,S,L,aff,244592.8,3
6,invalid,L,R,aff,237632.9,3
6,invalid,L,R,aff,259544.6,3
6,invalid,L,L,aff,162690,3
6,invalid,L,L,aff,265728.5,1
6,invalid,S,R,non-aff,170265.9,5
6,invalid,S,R,non-aff,204849.4,9
6,invalid,S,L,non-aff,82363.3,1
6,invalid,S,L,non-aff,110546.8,1
6,invalid,S,L,non-aff,279816.3,1
6,invalid,L,R,non-aff,9292.3,2
6,invalid,L,R,non-aff,132242.5,1
6,invalid,L,L,non-aff,27260.1,7
6,invalid,L,L,non-aff,124674.6,3
6,invalid,L,L,non-aff,196049.5,2
7,valid,G,R,aff,37067.9,5
7,valid,G,L,aff,28148,6
7,valid,G,L,aff,120186.6,2
7,valid,K,R,aff,173097.8,9
7,valid,K,R,aff,231304.9,7
7,valid,K,R,aff,256816.6,8
7,valid,K,L,aff,163969.9,8
7,valid,G,R,non-aff,179585.7,2
7,valid,G,L,non-aff,187137.6,4
7,valid,G,L,non-aff,277280.3,6
7,valid,K,R,non-aff,11612.3,9
7,valid,K,R,non-aff,63683.5,7
7,valid,K,L,non-aff,72811.3,9
7,valid,K,L,non-aff,96283,7
7,valid,K,L,non-aff,247632.7,5
7,invalid,G,R,aff,146458.2,2
7,invalid,G,L,aff,284424.1,2
7,invalid,G,L,aff,292792,4
7,invalid,G,L,aff,313303.7,2
7,invalid,K,R,aff,197857.4,6
7,invalid,K,R,aff,206881.3,6
7,invalid,K,R,aff,215785.2,9
7,invalid,K,L,aff,104162.9,8
7,invalid,G,R,non-aff,19468.1,4
7,invalid,G,R,non-aff,45003.8,2
7,invalid,G,R,non-aff,222873.1,1
7,invalid,G,L,non-aff,112682.7,6
7,invalid,K,R,non-aff,55011.6,9
7,invalid,K,L,non-aff,129274.5,5
7,invalid,K,L,non-aff,138946.3,7
7,invalid,K,L,non-aff,155538.1,4
7,invalid,K,L,non-aff,266392.4,8
7,valid,S,R,aff,93563,5
7,valid,S,R,aff,197273.5,6
7,valid,S,R,aff,238608.9,8
7,valid,S,L,aff,213129.2,5
7,valid,L,R,aff,84931.2,3
7,valid,L,R,aff,101938.9,9
7,valid,L,L,aff,119266.7,4
7,valid,L,L,aff,254536.6,5
7,valid,S,R,non-aff,229385,2
7,valid,S,L,non-aff,27836,4
7,valid,S,L,non-aff,61723.5,9
7,valid,S,L,non-aff,76235.3,1
7,valid,S,L,non-aff,301719.9,1
7,valid,L,R,non-aff,146746.3,7
7,valid,L,R,non-aff,162978,7
7,valid,L,L,non-aff,19548.2,9
7,valid,L,L,non-aff,188369.6,3
7,invalid,S,R,aff,9996.3,6
7,invalid,S,L,aff,37331.9,4
7,invalid,S,L,aff,155218.1,5
7,invalid,S,L,aff,246264.7,8
7,invalid,L,R,aff,136826.4,9
7,invalid,L,R,aff,204921.4,4
7,invalid,L,L,aff,52859.6,5
7,invalid,L,L,aff,287232.1,6
7,invalid,S,R,non-aff,44387.8,1
7,invalid,S,R,non-aff,69827.4,3
7,invalid,S,R,non-aff,278616.3,1
7,invalid,S,R,non-aff,294088,2
7,invalid,S,L,non-aff,110474.8,9
7,invalid,L,R,non-aff,170513.9,4
7,invalid,L,R,non-aff,221193.1,9
7,invalid,L,L,non-aff,179881.8,3
7,invalid,L,L,non-aff,262616.5,2
7,invalid,L,L,non-aff,271144.3,6
8,valid,G,R,aff,30780.1,6
8,valid,G,R,aff,274329.3,7
8,valid,G,L,aff,113907.1,5
8,valid,G,L,aff,244561.6,6
8,valid,K,R,aff,81827.5,1
8,valid,K,R,aff,151138.7,4
8,valid,K,R,aff,176242.4,8
8,valid,K,R,aff,191226.3,7
8,valid,G,R,non-aff,57395.8,7
8,valid,G,R,non-aff,93419.4,5
8,valid,G,L,non-aff,40044,7
8,valid,G,L,non-aff,121627,6
8,valid,G,L,non-aff,182898.4,1
8,valid,K,R,non-aff,106171.2,4
8,valid,K,L,non-aff,49019.9,5
8,valid,K,L,non-aff,255281.5,7
8,valid,K,L,non-aff,263505.4,5
8,valid,K,L,non-aff,295169.1,5
8,invalid,G,R,aff,214986,5
8,invalid,G,R,aff,236137.7,6
8,invalid,G,L,aff,130115,5
8,invalid,G,L,aff,303393,7
8,invalid,K,R,aff,166914.6,1
8,invalid,K,R,aff,199026.2,7
8,invalid,K,L,aff,283369.2,8
8,invalid,K,L,aff,320560.8,3
8,invalid,G,R,non-aff,159466.6,6
8,invalid,G,R,non-aff,223641.9,4
8,invalid,G,R,non-aff,312784.9,6
8,invalid,G,L,non-aff,12268.3,7
8,invalid,G,L,non-aff,74867.6,1
8,invalid,K,R,non-aff,67499.7,7
8,invalid,K,R,non-aff,329136.7,4
8,invalid,K,L,non-aff,22020.2,4
8,invalid,K,L,non-aff,206946.1,6
8,valid,S,R,aff,57003.8,4
8,valid,S,L,aff,75315.6,4
8,valid,S,L,aff,162634.6,2
8,valid,S,L,aff,230057.8,3
8,valid,L,R,aff,195882.2,6
8,valid,L,L,aff,171290.5,7
8,valid,L,L,aff,211058.1,7
8,valid,L,L,aff,278305.3,5
8,valid,S,R,non-aff,111403.2,4
8,valid,S,R,non-aff,186738.3,5
8,valid,S,R,non-aff,221361.9,2
8,valid,S,L,non-aff,18364.2,3
8,valid,S,L,non-aff,306553,1
8,valid,L,R,non-aff,29388.1,2
8,valid,L,R,non-aff,67043.7,4
8,valid,L,R,non-aff,93475.4,6
8,valid,L,R,non-aff,154082.7,6
8,valid,L,L,non-aff,10388.3,6
8,invalid,S,R,aff,144570.8,2
8,invalid,S,R,aff,261225.5,3
8,invalid,S,L,aff,48027.9,3
8,invalid,S,L,aff,85395.5,3
8,invalid,L,R,aff,119443.1,7
8,invalid,L,R,aff,138322.9,7
8,invalid,L,L,aff,38204,5
8,invalid,L,L,aff,203706.1,6
8,invalid,S,R,non-aff,238137.8,1
8,invalid,S,R,non-aff,253585.6,2
8,invalid,S,R,non-aff,268137.4,2
8,invalid,S,L,non-aff,179658.4,5
8,invalid,S,L,non-aff,316272.8,1
8,invalid,L,R,non-aff,103211.3,5
8,invalid,L,R,non-aff,127611,5
8,invalid,L,L,non-aff,245977.7,6
8,invalid,L,L,non-aff,289249.2,5
8,invalid,L,L,non-aff,299025.1,7
9,valid,G,R,aff,66875.7,6
9,valid,G,L,aff,133154.9,4
9,valid,G,L,aff,149698.8,7
9,valid,G,L,aff,190034.3,5
9,valid,K,R,aff,222177.9,4
9,valid,K,L,aff,197626.2,6
9,valid,K,L,aff,268353.4,6
9,valid,G,R,non-aff,34660.1,5
9,valid,G,R,non-aff,100795.3,5
9,valid,G,R,non-aff,253697.6,6
9,valid,G,L,non-aff,141018.8,6
9,valid,G,L,non-aff,158186.6,4
9,valid,K,R,non-aff,76115.6,4
9,valid,K,R,non-aff,206258.1,2
9,valid,K,R,non-aff,261329.5,5
9,valid,K,L,non-aff,245873.7,5
9,valid,K,L,non-aff,291665.1,5
9,invalid,G,R,aff,182866.4,5
9,invalid,G,L,aff,26756.1,3
9,invalid,G,L,aff,51355.9,6
9,invalid,G,L,aff,117523.1,7
9,invalid,K,R,aff,109003.2,7
9,invalid,K,R,aff,166394.6,6
9,invalid,K,L,aff,17980.2,5
9,invalid,G,R,non-aff,125771,6
9,invalid,G,R,non-aff,174618.5,5
9,invalid,G,R,non-aff,230425.8,5
9,invalid,G,L,non-aff,9676.3,4
9,invalid,K,R,non-aff,43699.9,4
9,invalid,K,R,non-aff,284497.2,5
9,invalid,K,L,non-aff,277273.3,2
9,valid,S,L,aff,9636.3,7
9,valid,S,L,aff,86579.5,7
9,valid,S,L,aff,102099.3,7
9,valid,S,L,aff,200370.1,8
9,valid,L,R,aff,193082.3,7
9,valid,L,R,aff,244929.7,7
9,valid,L,L,aff,56379.8,7
9,valid,L,L,aff,154202.7,6
9,valid,S,R,non-aff,40980,8
9,valid,S,R,non-aff,48539.9,8
9,valid,S,R,non-aff,215506,9
9,valid,S,R,non-aff,266753.4,8
9,valid,S,L,non-aff,71859.6,8
9,valid,L,R,non-aff,79355.5,6
9,valid,L,R,non-aff,109083.2,6
9,valid,L,R,non-aff,130731,7
9,valid,L,L,non-aff,17124.2,7
9,valid,L,L,non-aff,207698.1,7
9,invalid,S,R,aff,138914.9,8
9,invalid,S,R,aff,163562.6,8
9,invalid,S,L,aff,185466.3,5
9,invalid,S,L,aff,259177.5,8
9,invalid,L,R,aff,116411.1,7
9,invalid,L,R,aff,146322.8,7
9,invalid,L,R,aff,223097.9,7
9,invalid,L,R,aff,251977.6,7
9,invalid,S,R,non-aff,32356.1,7
9,invalid,S,R,non-aff,63691.7,8
9,invalid,S,R,non-aff,230537.8,9
9,invalid,S,L,non-aff,94427.4,8
9,invalid,S,L,non-aff,123379,7
9,invalid,L,L,non-aff,24396.1,7
9,invalid,L,L,non-aff,170482.5,6
9,invalid,L,L,non-aff,177322.4,6
9,invalid,L,L,non-aff,238153.7,7
9,invalid,L,L,non-aff,274089.3,6
10,valid,G,R,aff,39942.9,3
10,valid,G,R,aff,242483.1,4
10,valid,G,L,aff,105909.6,3
10,valid,G,L,aff,249674.9,4
10,valid,K,R,aff,62678.5,5
10,valid,K,R,aff,126581.3,5
10,valid,K,R,aff,257122.8,6
10,valid,K,L,aff,112725.5,4
10,valid,G,R,non-aff,221483.5,5
10,valid,G,R,non-aff,227467.4,2
10,valid,G,L,non-aff,132989.1,2
10,valid,G,L,non-aff,188180.1,4
10,valid,K,R,non-aff,17287.3,2
10,valid,K,R,non-aff,194932,3
10,valid,K,L,non-aff,47270.8,4
10,valid,K,L,non-aff,70006.3,5
10,valid,K,L,non-aff,201523.8,5
10,invalid,G,R,aff,84358.1,3
10,invalid,G,R,aff,146236.9,2
10,invalid,G,L,aff,99173.8,4
10,invalid,G,L,aff,139789,3
10,invalid,K,R,aff,91621.9,2
10,invalid,K,R,aff,174420.3,5
10,invalid,K,L,aff,153500.8,6
10,invalid,K,L,aff,181140.2,4
10,invalid,G,R,non-aff,10231.5,3
10,invalid,G,R,non-aff,77134.2,2
10,invalid,G,R,non-aff,119133.4,2
10,invalid,G,L,non-aff,54454.6,3
10,invalid,K,R,non-aff,167540.5,4
10,invalid,K,R,non-aff,233995.2,5
10,invalid,K,L,non-aff,24983.2,4
10,invalid,K,L,non-aff,207811.7,3
10,invalid,K,L,non-aff,214363.6,2
10,valid,S,R,aff,15279.4,1
10,valid,S,R,aff,106669.6,5
10,valid,S,L,aff,36814.9,3
10,valid,S,L,aff,237187.2,6
10,valid,L,R,aff,208715.7,6
10,valid,L,R,aff,252298.9,5
10,valid,L,L,aff,43718.8,5
10,valid,L,L,aff,93117.9,3
10,valid,S,R,non-aff,146436.9,5
10,valid,S,R,non-aff,180748.2,5
10,valid,S,L,non-aff,8527.5,2
10,valid,S,L,non-aff,99973.7,4
10,valid,S,L,non-aff,173700.3,4
10,valid,L,R,non-aff,50262.7,3
10,valid,L,R,non-aff,119453.4,4
10,valid,L,R,non-aff,166700.5,3
10,valid,L,L,non-aff,29999.1,4
10,valid,L,L,non-aff,201507.8,4
10,invalid,S,R,aff,64150.4,5
10,invalid,S,R,aff,132757.1,1
10,invalid,S,L,aff,71766.3,6
10,invalid,S,L,aff,216123.6,5
10,invalid,L,R,aff,86486,4
10,invalid,L,L,aff,56958.6,4
10,invalid,L,L,aff,153532.7,6
10,invalid,L,L,aff,188588.1,6
10,invalid,S,R,non-aff,22215.2,3
